model_name,model_size,prompt_id,num_runs,ttft_mean_ms,ttft_std_ms,ttft_min_ms,ttft_max_ms,ttft_median_ms,tps_mean,tps_std,tps_min,tps_max,tps_median,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,prompt_tokens_mean,output_tokens_mean,parameter_group,architecture,specialization,prompt_category,peak_memory_mb_mean,truncation_rate,cpu_percent_mean,accelerator_percent_mean,memory_used_mb_mean,power_watts_mean,backend,npu_utilization_percent_mean,npu_power_watts_mean,hailort_version
llama3.2:1b,1B,scene_description,1,453.34,0.0,453.34,453.34,453.34,7.01,0.0,7.01,7.01,7.01,13576.4,0.0,13576.4,13576.4,69,92,1B,dense,general,drone,39.8,0.0,96.5,,3024.0,,ollama-cpu,,,
llama3.2:1b,1B,target_identification,1,453.19,0.0,453.19,453.19,453.19,6.93,0.0,6.93,6.93,6.93,37476.72,0.0,37476.72,37476.72,58,256,1B,dense,general,drone,40.4,1.0,97.7,,3028.7,,ollama-cpu,,,
llama3.2:1b,1B,mission_preflight,1,454.5,0.0,454.5,454.5,454.5,6.8,0.0,6.8,6.8,6.8,38188.85,0.0,38188.85,38188.85,57,256,1B,dense,general,drone,40.4,1.0,97.3,,3028.1,,ollama-cpu,,,
llama3.2:1b,1B,telemetry_interpretation,1,472.8,0.0,472.8,472.8,472.8,7.05,0.0,7.05,7.05,7.05,8137.24,0.0,8137.24,8137.24,77,54,1B,dense,general,drone,40.2,0.0,95.1,,3033.6,,ollama-cpu,,,
llama3.2:1b,1B,hazard_reasoning,1,451.11,0.0,451.11,451.11,451.11,6.77,0.0,6.77,6.77,6.77,38341.55,0.0,38341.55,38341.55,65,256,1B,dense,general,drone,40.2,1.0,97.2,,3035.4,,ollama-cpu,,,
