model_name,model_size,prompt_id,num_runs,ttft_mean_ms,ttft_std_ms,ttft_min_ms,ttft_max_ms,ttft_median_ms,tps_mean,tps_std,tps_min,tps_max,tps_median,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,prompt_tokens_mean,output_tokens_mean,parameter_group,architecture,specialization,prompt_category,peak_memory_mb_mean,truncation_rate,cpu_percent_mean,accelerator_percent_mean,memory_used_mb_mean,power_watts_mean,backend,npu_utilization_percent_mean,npu_power_watts_mean,hailort_version
llama3.2:1b,1B,scene_description,1,450.52,0.0,450.52,450.52,450.52,6.9,0.0,6.9,6.9,6.9,13825.18,0.0,13825.18,13825.18,69,92,1B,dense,general,drone,43.3,0.0,96.2,,3274.6,,ollama-cpu,,,
llama3.2:1b,1B,target_identification,1,453.66,0.0,453.66,453.66,453.66,6.9,0.0,6.9,6.9,6.9,37588.28,0.0,37588.28,37588.28,58,256,1B,dense,general,drone,44.0,1.0,97.8,,3274.8,,ollama-cpu,,,
llama3.2:1b,1B,mission_preflight,1,453.46,0.0,453.46,453.46,453.46,6.73,0.0,6.73,6.73,6.73,38550.97,0.0,38550.97,38550.97,57,256,1B,dense,general,drone,44.0,1.0,97.3,,3278.6,,ollama-cpu,,,
llama3.2:1b,1B,telemetry_interpretation,1,444.79,0.0,444.79,444.79,444.79,7.05,0.0,7.05,7.05,7.05,8112.35,0.0,8112.35,8112.35,77,54,1B,dense,general,drone,43.3,0.0,95.6,,3281.5,,ollama-cpu,,,
llama3.2:1b,1B,hazard_reasoning,1,449.87,0.0,449.87,449.87,449.87,6.93,0.0,6.93,6.93,6.93,37436.47,0.0,37436.47,37436.47,65,256,1B,dense,general,drone,43.2,1.0,97.9,,3280.7,,ollama-cpu,,,
