model_name,model_size,prompt_id,num_runs,ttft_mean_ms,ttft_std_ms,ttft_min_ms,ttft_max_ms,ttft_median_ms,tps_mean,tps_std,tps_min,tps_max,tps_median,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,prompt_tokens_mean,output_tokens_mean,parameter_group,architecture,specialization,prompt_category,peak_memory_mb_mean,truncation_rate,cpu_percent_mean,accelerator_percent_mean,memory_used_mb_mean,power_watts_mean,backend,npu_utilization_percent_mean,npu_power_watts_mean,hailort_version
llama3.2:1b,1B,scene_description,1,456.67,0.0,456.67,456.67,456.67,7.03,0.0,7.03,7.03,7.03,13550.49,0.0,13550.49,13550.49,69,92,1B,dense,general,drone,41.1,0.0,96.2,,2481.5,,ollama-cpu,,,
llama3.2:1b,1B,target_identification,1,457.8,0.0,457.8,457.8,457.8,7.08,0.0,7.08,7.08,7.08,36619.84,0.0,36619.84,36619.84,58,256,1B,dense,general,drone,41.9,1.0,98.0,,2477.2,,ollama-cpu,,,
llama3.2:1b,1B,mission_preflight,1,456.61,0.0,456.61,456.61,456.61,6.98,0.0,6.98,6.98,6.98,37128.98,0.0,37128.98,37128.98,57,256,1B,dense,general,drone,42.0,1.0,97.7,,2482.8,,ollama-cpu,,,
llama3.2:1b,1B,telemetry_interpretation,1,455.93,0.0,455.93,455.93,455.93,7.01,0.0,7.01,7.01,7.01,8186.01,0.0,8186.01,8186.01,77,54,1B,dense,general,drone,42.0,0.0,94.9,,2492.0,,ollama-cpu,,,
llama3.2:1b,1B,hazard_reasoning,1,455.9,0.0,455.9,455.9,455.9,6.93,0.0,6.93,6.93,6.93,37449.05,0.0,37449.05,37449.05,65,256,1B,dense,general,drone,42.0,1.0,97.5,,2491.7,,ollama-cpu,,,
llama3.2:1b,1B,scene_description,1,451.46,0.0,451.46,451.46,451.46,10.35,0.0,10.35,10.35,10.35,3542.4,0.0,3542.4,3542.4,33,32,1B,dense,general,drone,43.8,0.0,1.9,,968.4,,hailo-10h,,,HailoRT-CLI version 5.3.0
llama3.2:1b,1B,target_identification,1,456.79,0.0,456.79,456.79,456.79,10.41,0.0,10.41,10.41,10.41,3242.78,0.0,3242.78,3242.78,27,29,1B,dense,general,drone,43.9,0.0,1.7,,957.4,,hailo-10h,,,HailoRT-CLI version 5.3.0
llama3.2:1b,1B,mission_preflight,1,450.62,0.0,450.62,450.62,450.62,10.13,0.0,10.13,10.13,10.13,25722.17,0.0,25722.17,25722.17,26,256,1B,dense,general,drone,44.6,1.0,1.7,,952.1,,hailo-10h,,,HailoRT-CLI version 5.3.0
llama3.2:1b,1B,telemetry_interpretation,1,457.16,0.0,457.16,457.16,457.16,10.27,0.0,10.27,10.27,10.27,5323.4,0.0,5323.4,5323.4,32,50,1B,dense,general,drone,44.6,0.0,1.8,,950.7,,hailo-10h,,,HailoRT-CLI version 5.3.0
llama3.2:1b,1B,hazard_reasoning,1,455.28,0.0,455.28,455.28,455.28,10.5,0.0,10.5,10.5,10.5,2740.39,0.0,2740.39,2740.39,35,24,1B,dense,general,drone,44.6,0.0,1.8,,949.4,,hailo-10h,,,HailoRT-CLI version 5.3.0
