platform,cpu_model,accelerator,ram_size_gb,model_name,model_size,quantization,backend,prompt_tokens,output_tokens,ttft_ms,tokens_per_second,total_latency_ms,ttft_mean_ms,ttft_std_ms,tps_mean,tps_std,latency_mean_ms,latency_std_ms,cpu_percent,accelerator_percent,memory_used_mb,power_watts,npu_utilization_percent,npu_power_watts,hailort_version,warmup_runs,measured_runs
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,,hailo-10h,33,32,472.04,10.29,3582.58,451.46,9.68,10.35,0.06,3542.4,20.29,1.9,,968.4,,,,HailoRT-CLI version 5.3.0,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,,hailo-10h,27,29,462.42,10.46,3234.74,456.79,13.51,10.41,0.05,3242.78,19.27,1.7,,957.4,,,,HailoRT-CLI version 5.3.0,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,,hailo-10h,26,256,468.17,10.14,25711.55,450.62,7.32,10.13,0.01,25722.17,28.32,1.7,,952.1,,,,HailoRT-CLI version 5.3.0,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,,hailo-10h,32,50,478.95,10.3,5333.32,457.16,11.12,10.27,0.03,5323.4,13.41,1.8,,950.7,,,,HailoRT-CLI version 5.3.0,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,,hailo-10h,35,24,473.79,10.43,2773.95,455.28,9.07,10.5,0.05,2740.39,14.47,1.8,,949.4,,,,HailoRT-CLI version 5.3.0,3,10
