model_name,model_size,prompt_id,num_runs,ttft_mean_ms,ttft_std_ms,ttft_min_ms,ttft_max_ms,ttft_median_ms,tps_mean,tps_std,tps_min,tps_max,tps_median,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,prompt_tokens_mean,output_tokens_mean,parameter_group,architecture,specialization,prompt_category,peak_memory_mb_mean,truncation_rate,cpu_percent_mean,accelerator_percent_mean,memory_used_mb_mean,power_watts_mean,backend,npu_utilization_percent_mean,npu_power_watts_mean,hailort_version
llama3.2:1b,1B,scene_description,1,451.97,0.0,451.97,451.97,451.97,7.12,0.0,7.12,7.12,7.12,13382.85,0.0,13382.85,13382.85,69,92,1B,dense,general,drone,42.0,0.0,96.9,,3390.7,,ollama-cpu,,,
llama3.2:1b,1B,target_identification,1,450.23,0.0,450.23,450.23,450.23,6.66,0.0,6.66,6.66,6.66,38982.12,0.0,38982.12,38982.12,58,256,1B,dense,general,drone,42.2,1.0,97.0,,3361.1,,ollama-cpu,,,
llama3.2:1b,1B,mission_preflight,1,450.15,0.0,450.15,450.15,450.15,6.87,0.0,6.87,6.87,6.87,37755.16,0.0,37755.16,37755.16,57,256,1B,dense,general,drone,42.0,1.0,97.7,,3301.9,,ollama-cpu,,,
llama3.2:1b,1B,telemetry_interpretation,1,449.69,0.0,449.69,449.69,449.69,6.93,0.0,6.93,6.93,6.93,8257.11,0.0,8257.11,8257.11,77,54,1B,dense,general,drone,42.0,0.0,95.1,,3263.8,,ollama-cpu,,,
llama3.2:1b,1B,hazard_reasoning,1,449.93,0.0,449.93,449.93,449.93,6.65,0.0,6.65,6.65,6.65,39112.02,0.0,39112.02,39112.02,65,256,1B,dense,general,drone,42.0,1.0,96.9,,3264.6,,ollama-cpu,,,
