model_name,yolo_version,task,input_resolution,num_runs,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,throughput_mean_fps,throughput_std_fps,throughput_min_fps,throughput_max_fps,map_mean,map_std,precision_mean,recall_mean,cpu_percent_mean,accelerator_percent_mean,memory_used_mb_mean,power_watts_mean
yolo26n-pose.pt,v26,pose,640x640,1,23.048,0.0,23.048,23.048,23.049,23.136,43.39,0.0,43.39,43.39,,,,,6.2,,7988.4,
yolo11n-pose.pt,v11,pose,640x640,1,18.451,0.0,18.451,18.451,18.334,19.224,54.2,0.0,54.2,54.2,,,,,42.6,,7968.1,
yolov8n.pt,v8,detection,640x640,1,10.008,0.0,10.008,10.008,9.921,10.438,99.92,0.0,99.92,99.92,,,,,9.8,,7904.8,
yolov8n-obb.pt,v8,obb,640x640,1,14.136,0.0,14.136,14.136,14.198,14.647,70.74,0.0,70.74,70.74,,,,,26.6,,7916.8,
yolov8s-pose.pt,v8,pose,640x640,1,11.53,0.0,11.53,11.53,11.746,12.017,86.73,0.0,86.73,86.73,,,,,20.0,,7977.1,
yolo26n-obb.pt,v26,obb,640x640,1,17.166,0.0,17.166,17.166,16.874,19.554,58.25,0.0,58.25,58.25,,,,,15.1,,7832.0,
yolov8n-seg.pt,v8,segmentation,640x640,1,15.882,0.0,15.882,15.882,15.605,17.638,62.96,0.0,62.96,62.96,,,,,17.1,,7919.0,
yolo11n-obb.pt,v11,obb,640x640,1,17.641,0.0,17.641,17.641,17.284,20.825,56.69,0.0,56.69,56.69,,,,,29.3,,7895.7,
