model_name,model_size,prompt_id,num_runs,ttft_mean_ms,ttft_std_ms,ttft_min_ms,ttft_max_ms,ttft_median_ms,tps_mean,tps_std,tps_min,tps_max,tps_median,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,prompt_tokens_mean,output_tokens_mean,parameter_group,architecture,specialization,prompt_category,peak_memory_mb_mean,truncation_rate,cpu_percent_mean,accelerator_percent_mean,memory_used_mb_mean,power_watts_mean,backend,npu_utilization_percent_mean,npu_power_watts_mean,hailort_version
llama3.2:1b,1B,scene_description,1,1929.1,0.0,1929.1,1929.1,1929.1,0.62,0.0,0.62,0.62,0.62,149193.16,0.0,149193.16,149193.16,69,92,1B,dense,general,drone,51.0,0.0,99.6,,9422.2,,ollama-cpu,,,
llama3.2:1b,1B,target_identification,1,1924.36,0.0,1924.36,1924.36,1924.36,0.62,0.0,0.62,0.62,0.62,417689.57,0.0,417689.57,417689.57,58,256,1B,dense,general,drone,58.6,1.0,99.7,,9430.9,,ollama-cpu,,,
llama3.2:1b,1B,mission_preflight,1,1927.79,0.0,1927.79,1927.79,1927.79,0.62,0.0,0.62,0.62,0.62,416337.22,0.0,416337.22,416337.22,57,256,1B,dense,general,drone,59.3,1.0,99.6,,9339.7,,ollama-cpu,,,
llama3.2:1b,1B,telemetry_interpretation,1,1936.43,0.0,1936.43,1936.43,1936.43,0.63,0.0,0.63,0.63,0.63,87734.11,0.0,87734.11,87734.11,77,54,1B,dense,general,drone,59.3,0.0,99.5,,9359.4,,ollama-cpu,,,
llama3.2:1b,1B,hazard_reasoning,1,1959.99,0.0,1959.99,1959.99,1959.99,0.62,0.0,0.62,0.62,0.62,417436.21,0.0,417436.21,417436.21,65,256,1B,dense,general,drone,59.3,1.0,99.7,,9412.4,,ollama-cpu,,,
llama3.2:1b,1B,unsupported-on-this-hardware,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,0.0,,,,,hailo-10h,,,
