model_name,model_size,prompt_id,num_runs,ttft_mean_ms,ttft_std_ms,ttft_min_ms,ttft_max_ms,ttft_median_ms,tps_mean,tps_std,tps_min,tps_max,tps_median,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,prompt_tokens_mean,output_tokens_mean,parameter_group,architecture,specialization,prompt_category,peak_memory_mb_mean,truncation_rate,cpu_percent_mean,accelerator_percent_mean,memory_used_mb_mean,power_watts_mean,backend,npu_utilization_percent_mean,npu_power_watts_mean,hailort_version
llama3.2:1b,1B,scene_description,1,454.03,0.0,454.03,454.03,454.03,10.54,0.0,10.54,10.54,10.54,2352.45,0.0,2352.45,2352.45,33,20,1B,dense,general,drone,43.1,0.0,1.5,,2587.2,,hailo-10h,,,HailoRT-CLI version 5.3.0
llama3.2:1b,1B,target_identification,1,458.49,0.0,458.49,458.49,458.49,10.24,0.0,10.24,10.24,10.24,4559.34,0.0,4559.34,4559.34,27,42,1B,dense,general,drone,43.2,0.0,1.9,,2585.7,,hailo-10h,,,HailoRT-CLI version 5.3.0
llama3.2:1b,1B,mission_preflight,1,452.59,0.0,452.59,452.59,452.59,10.08,0.0,10.08,10.08,10.08,25860.08,0.0,25860.08,25860.08,26,256,1B,dense,general,drone,43.9,1.0,1.4,,2586.9,,hailo-10h,,,HailoRT-CLI version 5.3.0
llama3.2:1b,1B,telemetry_interpretation,1,455.98,0.0,455.98,455.98,455.98,10.08,0.0,10.08,10.08,10.08,12957.22,0.0,12957.22,12957.22,32,126,1B,dense,general,drone,43.9,0.0,1.2,,2583.7,,hailo-10h,,,HailoRT-CLI version 5.3.0
llama3.2:1b,1B,hazard_reasoning,1,456.71,0.0,456.71,456.71,456.71,10.29,0.0,10.29,10.29,10.29,4148.67,0.0,4148.67,4148.67,35,38,1B,dense,general,drone,43.9,0.0,1.7,,2586.4,,hailo-10h,,,HailoRT-CLI version 5.3.0
llama3.2:1b,1B,scene_description,1,453.91,0.0,453.91,453.91,453.91,6.89,0.0,6.89,6.89,6.89,13832.61,0.0,13832.61,13832.61,69,92,1B,dense,general,drone,43.5,0.0,96.0,,2684.3,,ollama-cpu,,,
llama3.2:1b,1B,target_identification,1,453.79,0.0,453.79,453.79,453.79,6.9,0.0,6.9,6.9,6.9,37600.89,0.0,37600.89,37600.89,58,256,1B,dense,general,drone,44.2,1.0,97.6,,2675.2,,ollama-cpu,,,
llama3.2:1b,1B,mission_preflight,1,456.28,0.0,456.28,456.28,456.28,6.9,0.0,6.9,6.9,6.9,37602.93,0.0,37602.93,37602.93,57,256,1B,dense,general,drone,44.2,1.0,97.6,,2676.6,,ollama-cpu,,,
llama3.2:1b,1B,telemetry_interpretation,1,453.36,0.0,453.36,453.36,453.36,7.02,0.0,7.02,7.02,7.02,8155.3,0.0,8155.3,8155.3,77,54,1B,dense,general,drone,44.2,0.0,95.2,,2681.1,,ollama-cpu,,,
llama3.2:1b,1B,hazard_reasoning,1,448.5,0.0,448.5,448.5,448.5,6.93,0.0,6.93,6.93,6.93,37389.45,0.0,37389.45,37389.45,65,256,1B,dense,general,drone,44.2,1.0,97.7,,2679.7,,ollama-cpu,,,
