model_name,model_size,prompt_id,num_runs,ttft_mean_ms,ttft_std_ms,ttft_min_ms,ttft_max_ms,ttft_median_ms,tps_mean,tps_std,tps_min,tps_max,tps_median,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,prompt_tokens_mean,output_tokens_mean,parameter_group,architecture,specialization,prompt_category,peak_memory_mb_mean,truncation_rate,cpu_percent_mean,accelerator_percent_mean,memory_used_mb_mean,power_watts_mean,backend,npu_utilization_percent_mean,npu_power_watts_mean,hailort_version
llama3.2:1b,1B,scene_description,1,450.52,0.0,450.52,450.52,450.52,6.98,0.0,6.98,6.98,6.98,13681.65,0.0,13681.65,13681.65,69,92,1B,dense,general,drone,43.5,0.0,96.2,,2631.5,,ollama-cpu,,,
llama3.2:1b,1B,target_identification,1,452.96,0.0,452.96,452.96,452.96,6.83,0.0,6.83,6.83,6.83,38000.99,0.0,38000.99,38000.99,58,256,1B,dense,general,drone,44.2,1.0,97.3,,2620.5,,ollama-cpu,,,
llama3.2:1b,1B,mission_preflight,1,452.7,0.0,452.7,452.7,452.7,6.92,0.0,6.92,6.92,6.92,37499.77,0.0,37499.77,37499.77,57,256,1B,dense,general,drone,44.2,1.0,97.6,,2644.6,,ollama-cpu,,,
llama3.2:1b,1B,telemetry_interpretation,1,456.21,0.0,456.21,456.21,456.21,7.12,0.0,7.12,7.12,7.12,8044.28,0.0,8044.28,8044.28,77,54,1B,dense,general,drone,44.2,0.0,95.4,,2660.4,,ollama-cpu,,,
llama3.2:1b,1B,hazard_reasoning,1,459.29,0.0,459.29,459.29,459.29,7.01,0.0,7.01,7.01,7.01,37019.25,0.0,37019.25,37019.25,65,256,1B,dense,general,drone,44.2,1.0,97.9,,2655.4,,ollama-cpu,,,
llama3.2:1b,1B,scene_description,1,453.79,0.0,453.79,453.79,453.79,10.39,0.0,10.39,10.39,10.39,3532.72,0.0,3532.72,3532.72,33,32,1B,dense,general,drone,43.0,0.0,6.1,,2571.1,,hailo-10h,,,HailoRT-CLI version 5.3.0
llama3.2:1b,1B,target_identification,1,449.55,0.0,449.55,449.55,449.55,10.13,0.0,10.13,10.13,10.13,25729.4,0.0,25729.4,25729.4,27,256,1B,dense,general,drone,43.7,1.0,2.1,,2598.5,,hailo-10h,,,HailoRT-CLI version 5.3.0
llama3.2:1b,1B,mission_preflight,1,451.95,0.0,451.95,451.95,451.95,10.13,0.0,10.13,10.13,10.13,25728.0,0.0,25728.0,25728.0,26,256,1B,dense,general,drone,43.8,1.0,1.8,,2624.3,,hailo-10h,,,HailoRT-CLI version 5.3.0
llama3.2:1b,1B,telemetry_interpretation,1,452.99,0.0,452.99,452.99,452.99,10.13,0.0,10.13,10.13,10.13,12793.93,0.0,12793.93,12793.93,32,125,1B,dense,general,drone,43.8,0.0,1.9,,2625.4,,hailo-10h,,,HailoRT-CLI version 5.3.0
llama3.2:1b,1B,hazard_reasoning,1,461.02,0.0,461.02,461.02,461.02,10.4,0.0,10.4,10.4,10.4,3248.39,0.0,3248.39,3248.39,35,29,1B,dense,general,drone,43.8,0.0,1.8,,2627.1,,hailo-10h,,,HailoRT-CLI version 5.3.0
