platform,cpu_model,accelerator,ram_size_gb,model_name,model_size,quantization,backend,prompt_tokens,output_tokens,ttft_ms,tokens_per_second,total_latency_ms,ttft_mean_ms,ttft_std_ms,tps_mean,tps_std,latency_mean_ms,latency_std_ms,cpu_percent,accelerator_percent,memory_used_mb,power_watts,npu_utilization_percent,npu_power_watts,hailort_version,warmup_runs,measured_runs
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,Q8_0,ollama-cpu,69,92,463.23,7.03,13547.97,453.34,7.46,7.01,0.17,13576.4,323.31,96.5,,3024.0,,,,,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,Q8_0,ollama-cpu,58,256,445.39,7.09,36532.38,453.19,8.01,6.93,0.28,37476.72,1585.54,97.7,,3028.7,,,,,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,Q8_0,ollama-cpu,57,256,452.76,6.81,38067.64,454.5,5.3,6.8,0.29,38188.85,1665.6,97.3,,3028.1,,,,,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,Q8_0,ollama-cpu,77,54,448.7,7.03,8133.09,472.8,64.01,7.05,0.25,8137.24,280.59,95.1,,3033.6,,,,,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,Q8_0,ollama-cpu,65,256,453.57,6.24,41470.2,451.11,4.28,6.77,0.29,38341.55,1692.35,97.2,,3035.4,,,,,3,10
