model_name,yolo_version,task,input_resolution,num_runs,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,throughput_mean_fps,throughput_std_fps,throughput_min_fps,throughput_max_fps,map_mean,map_std,precision_mean,recall_mean,cpu_percent_mean,accelerator_percent_mean,memory_used_mb_mean,power_watts_mean
yolov8n.pt,v8,detection,640x640,1,66.411,0.0,66.411,66.411,66.403,66.642,15.06,0.0,15.06,15.06,,,,,3.0,,2337.3,
yolo26n-obb.pt,v26,obb,640x640,1,54.335,0.0,54.335,54.335,54.303,54.645,18.4,0.0,18.4,18.4,,,,,2.7,,2256.8,
yolov8n-obb.pt,v8,obb,640x640,1,62.258,0.0,62.258,62.258,62.285,62.439,16.06,0.0,16.06,16.06,,,,,11.4,,2296.8,
yolo11n-obb.pt,v11,obb,640x640,1,62.427,0.0,62.427,62.427,62.389,62.62,16.02,0.0,16.02,16.02,,,,,13.5,,2244.1,
yolo26n-seg.pt,v26,segmentation,640x640,1,80.79,0.0,80.79,80.79,80.897,81.397,12.38,0.0,12.38,12.38,,,,,2.7,,2076.1,
yolo11n-seg.pt,v11,segmentation,640x640,1,82.602,0.0,82.602,82.602,82.244,85.977,12.11,0.0,12.11,12.11,,,,,3.7,,2093.4,
