platform,cpu_model,accelerator,ram_size_gb,model_name,model_size,quantization,backend,prompt_tokens,output_tokens,ttft_ms,tokens_per_second,total_latency_ms,ttft_mean_ms,ttft_std_ms,tps_mean,tps_std,latency_mean_ms,latency_std_ms,cpu_percent,accelerator_percent,memory_used_mb,power_watts,npu_utilization_percent,npu_power_watts,hailort_version,warmup_runs,measured_runs
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,,hailo-10h,33,20,475.97,10.47,2385.46,460.09,10.42,10.53,0.06,2359.41,15.56,20.3,,1415.4,,,,HailoRT-CLI version 5.3.0,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,,hailo-10h,27,256,481.55,10.06,25936.2,458.46,11.9,10.04,0.01,25968.57,31.44,19.6,,1440.0,,,,HailoRT-CLI version 5.3.0,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,,hailo-10h,26,256,474.39,10.03,25985.93,456.34,9.29,10.03,0.02,25971.56,52.45,19.2,,1459.4,,,,HailoRT-CLI version 5.3.0,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,,hailo-10h,32,256,481.75,10.03,26014.8,457.47,11.73,10.04,0.02,25964.18,48.64,19.6,,1461.8,,,,HailoRT-CLI version 5.3.0,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,,hailo-10h,35,18,479.59,10.63,2173.28,458.55,10.06,10.58,0.09,2160.0,16.46,20.8,,1460.9,,,,HailoRT-CLI version 5.3.0,3,10
