model_name,model_size,prompt_id,num_runs,ttft_mean_ms,ttft_std_ms,ttft_min_ms,ttft_max_ms,ttft_median_ms,tps_mean,tps_std,tps_min,tps_max,tps_median,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,prompt_tokens_mean,output_tokens_mean,parameter_group,architecture,specialization,prompt_category,peak_memory_mb_mean,truncation_rate,cpu_percent_mean,accelerator_percent_mean,memory_used_mb_mean,power_watts_mean,backend,npu_utilization_percent_mean,npu_power_watts_mean,hailort_version
llama3.2:1b,1B,scene_description,1,450.05,0.0,450.05,450.05,450.05,6.85,0.0,6.85,6.85,6.85,13928.52,0.0,13928.52,13928.52,69,92,1B,dense,general,drone,43.4,0.0,96.1,,3254.9,,ollama-cpu,,,
llama3.2:1b,1B,target_identification,1,447.28,0.0,447.28,447.28,447.28,6.65,0.0,6.65,6.65,6.65,39012.21,0.0,39012.21,39012.21,58,256,1B,dense,general,drone,44.0,1.0,97.0,,3252.8,,ollama-cpu,,,
llama3.2:1b,1B,mission_preflight,1,449.13,0.0,449.13,449.13,449.13,6.87,0.0,6.87,6.87,6.87,37815.67,0.0,37815.67,37815.67,57,256,1B,dense,general,drone,44.0,1.0,97.6,,3255.7,,ollama-cpu,,,
llama3.2:1b,1B,telemetry_interpretation,1,452.34,0.0,452.34,452.34,452.34,7.01,0.0,7.01,7.01,7.01,8161.02,0.0,8161.02,8161.02,77,54,1B,dense,general,drone,44.0,0.0,95.3,,3264.1,,ollama-cpu,,,
llama3.2:1b,1B,hazard_reasoning,1,455.25,0.0,455.25,455.25,455.25,6.9,0.0,6.9,6.9,6.9,37574.16,0.0,37574.16,37574.16,65,256,1B,dense,general,drone,44.0,1.0,97.8,,3259.9,,ollama-cpu,,,
