model_name,model_size,prompt_id,num_runs,ttft_mean_ms,ttft_std_ms,ttft_min_ms,ttft_max_ms,ttft_median_ms,tps_mean,tps_std,tps_min,tps_max,tps_median,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,prompt_tokens_mean,output_tokens_mean,parameter_group,architecture,specialization,prompt_category,peak_memory_mb_mean,truncation_rate,cpu_percent_mean,accelerator_percent_mean,memory_used_mb_mean,power_watts_mean,backend,npu_utilization_percent_mean,npu_power_watts_mean,hailort_version
llama3.2:1b,1B,unsupported-on-this-hardware,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,0.0,,,,,hailo-10h,,,
llama3.2:1b,1B,scene_description,1,1927.19,0.0,1927.19,1927.19,1927.19,0.63,0.0,0.63,0.63,0.63,148974.43,0.0,148974.43,148974.43,69,92,1B,dense,general,drone,51.3,0.0,99.6,,8549.4,,ollama-cpu,,,
llama3.2:1b,1B,target_identification,1,1922.71,0.0,1922.71,1922.71,1922.71,0.62,0.0,0.62,0.62,0.62,415261.77,0.0,415261.77,415261.77,58,256,1B,dense,general,drone,58.9,1.0,99.7,,8543.0,,ollama-cpu,,,
llama3.2:1b,1B,mission_preflight,1,1922.08,0.0,1922.08,1922.08,1922.08,0.62,0.0,0.62,0.62,0.62,416503.16,0.0,416503.16,416503.16,57,256,1B,dense,general,drone,59.6,1.0,99.6,,8559.6,,ollama-cpu,,,
llama3.2:1b,1B,telemetry_interpretation,1,1930.6,0.0,1930.6,1930.6,1930.6,0.63,0.0,0.63,0.63,0.63,87390.36,0.0,87390.36,87390.36,77,54,1B,dense,general,drone,59.6,0.0,99.6,,8570.9,,ollama-cpu,,,
llama3.2:1b,1B,hazard_reasoning,1,1922.9,0.0,1922.9,1922.9,1922.9,0.62,0.0,0.62,0.62,0.62,415047.22,0.0,415047.22,415047.22,65,256,1B,dense,general,drone,59.6,1.0,99.7,,8561.3,,ollama-cpu,,,
