platform,cpu_model,accelerator,ram_size_gb,model_name,model_size,quantization,backend,prompt_tokens,output_tokens,ttft_ms,tokens_per_second,total_latency_ms,ttft_mean_ms,ttft_std_ms,tps_mean,tps_std,latency_mean_ms,latency_std_ms,cpu_percent,accelerator_percent,memory_used_mb,power_watts,npu_utilization_percent,npu_power_watts,hailort_version,warmup_runs,measured_runs
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,Q8_0,ollama-cpu,69,92,455.61,7.02,13558.93,453.91,4.85,6.89,0.32,13832.61,627.4,96.0,,2684.3,,,,,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,Q8_0,ollama-cpu,58,256,460.46,6.89,37601.99,453.79,4.78,6.9,0.24,37600.89,1344.17,97.6,,2675.2,,,,,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,Q8_0,ollama-cpu,57,256,459.08,6.51,39783.06,456.28,6.38,6.9,0.23,37602.93,1234.72,97.6,,2676.6,,,,,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,Q8_0,ollama-cpu,77,54,458.8,7.14,8026.68,453.36,3.82,7.02,0.32,8155.3,365.64,95.2,,2681.1,,,,,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,Q8_0,ollama-cpu,65,256,448.74,6.7,38670.96,448.5,4.72,6.93,0.17,37389.45,893.99,97.7,,2679.7,,,,,3,10
