model_name,model_size,prompt_id,num_runs,ttft_mean_ms,ttft_std_ms,ttft_min_ms,ttft_max_ms,ttft_median_ms,tps_mean,tps_std,tps_min,tps_max,tps_median,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,prompt_tokens_mean,output_tokens_mean,parameter_group,architecture,specialization,prompt_category,peak_memory_mb_mean,truncation_rate,cpu_percent_mean,accelerator_percent_mean,memory_used_mb_mean,power_watts_mean,backend,npu_utilization_percent_mean,npu_power_watts_mean,hailort_version
llama3.2:1b,1B,scene_description,1,457.26,0.0,457.26,457.26,457.26,6.89,0.0,6.89,6.89,6.89,13833.46,0.0,13833.46,13833.46,69,92,1B,dense,general,drone,40.0,0.0,96.4,,3284.3,,ollama-cpu,,,
llama3.2:1b,1B,target_identification,1,457.82,0.0,457.82,457.82,457.82,6.48,0.0,6.48,6.48,6.48,40041.55,0.0,40041.55,40041.55,58,256,1B,dense,general,drone,40.7,1.0,96.9,,3254.3,,ollama-cpu,,,
llama3.2:1b,1B,mission_preflight,1,490.65,0.0,490.65,490.65,490.65,6.66,0.0,6.66,6.66,6.66,38952.72,0.0,38952.72,38952.72,57,256,1B,dense,general,drone,37.7,1.0,97.5,,3406.0,,ollama-cpu,,,
llama3.2:1b,1B,telemetry_interpretation,1,457.95,0.0,457.95,457.95,457.95,6.89,0.0,6.89,6.89,6.89,8303.82,0.0,8303.82,8303.82,77,54,1B,dense,general,drone,35.1,0.0,95.2,,3407.3,,ollama-cpu,,,
llama3.2:1b,1B,hazard_reasoning,1,459.37,0.0,459.37,459.37,459.37,6.77,0.0,6.77,6.77,6.77,38352.35,0.0,38352.35,38352.35,65,256,1B,dense,general,drone,35.1,1.0,97.6,,3405.9,,ollama-cpu,,,
