platform,cpu_model,accelerator,ram_size_gb,model_name,model_size,quantization,backend,prompt_tokens,output_tokens,ttft_ms,tokens_per_second,total_latency_ms,ttft_mean_ms,ttft_std_ms,tps_mean,tps_std,latency_mean_ms,latency_std_ms,cpu_percent,accelerator_percent,memory_used_mb,power_watts,npu_utilization_percent,npu_power_watts,hailort_version,warmup_runs,measured_runs
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,Q8_0,ollama-cpu,69,92,457.04,6.82,13943.07,450.05,6.92,6.85,0.43,13928.52,881.99,96.1,,3254.9,,,,,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,Q8_0,ollama-cpu,58,256,450.47,6.87,37740.43,447.28,19.88,6.65,0.33,39012.21,2016.62,97.0,,3252.8,,,,,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,Q8_0,ollama-cpu,57,256,450.95,7.15,36257.74,449.13,4.75,6.87,0.32,37815.67,1838.96,97.6,,3255.7,,,,,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,Q8_0,ollama-cpu,77,54,461.34,7.0,8174.53,452.34,4.81,7.01,0.24,8161.02,263.31,95.3,,3264.1,,,,,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,Q8_0,ollama-cpu,65,256,450.82,6.91,37499.58,455.25,15.96,6.9,0.16,37574.16,868.64,97.8,,3259.9,,,,,3,10
