platform,cpu_model,accelerator,ram_size_gb,model_name,model_size,quantization,backend,prompt_tokens,output_tokens,ttft_ms,tokens_per_second,total_latency_ms,ttft_mean_ms,ttft_std_ms,tps_mean,tps_std,latency_mean_ms,latency_std_ms,cpu_percent,accelerator_percent,memory_used_mb,power_watts,npu_utilization_percent,npu_power_watts,hailort_version,warmup_runs,measured_runs
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,,hailo-10h,33,20,478.33,10.22,2435.47,454.44,10.34,10.46,0.18,2367.68,42.32,20.9,,3397.7,,,,HailoRT-CLI version 5.3.0,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,,hailo-10h,27,42,460.74,10.01,4656.09,454.28,9.04,10.12,0.1,4604.13,47.3,20.9,,3382.3,,,,HailoRT-CLI version 5.3.0,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,,hailo-10h,26,256,465.66,10.15,25692.4,450.06,6.49,10.08,0.06,25840.29,141.94,1.9,,3363.1,,,,HailoRT-CLI version 5.3.0,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,,hailo-10h,32,126,462.72,10.18,12841.01,448.83,4.99,10.1,0.08,12926.7,98.07,2.0,,3366.2,,,,HailoRT-CLI version 5.3.0,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,,hailo-10h,35,38,453.91,10.19,4183.79,450.99,5.84,10.28,0.11,4147.1,43.01,1.9,,3362.8,,,,HailoRT-CLI version 5.3.0,3,10
