platform,cpu_model,accelerator,ram_size_gb,model_name,model_size,quantization,backend,prompt_tokens,output_tokens,ttft_ms,tokens_per_second,total_latency_ms,ttft_mean_ms,ttft_std_ms,tps_mean,tps_std,latency_mean_ms,latency_std_ms,cpu_percent,accelerator_percent,memory_used_mb,power_watts,npu_utilization_percent,npu_power_watts,hailort_version,warmup_runs,measured_runs
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,,hailo-10h,33,32,472.96,10.36,3562.53,453.79,10.35,10.39,0.03,3532.72,18.42,6.1,,2571.1,,,,HailoRT-CLI version 5.3.0,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,,hailo-10h,27,256,464.2,10.14,25718.51,449.55,6.41,10.13,0.01,25729.4,26.94,2.1,,2598.5,,,,HailoRT-CLI version 5.3.0,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,,hailo-10h,26,256,461.75,10.13,25742.79,451.95,5.77,10.13,0.02,25728.0,48.65,1.8,,2624.3,,,,HailoRT-CLI version 5.3.0,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,,hailo-10h,32,125,472.27,10.15,12792.43,452.99,12.12,10.13,0.03,12793.93,35.16,1.9,,2625.4,,,,HailoRT-CLI version 5.3.0,3,10
rpi_ai_hat_plus_2,Raspberry Pi 5 Model B Rev 1.0,Hailo-10H NPU,4.0,llama3.2:1b,1B,,hailo-10h,35,29,480.4,10.31,3292.09,461.02,13.42,10.4,0.07,3248.39,23.24,1.8,,2627.1,,,,HailoRT-CLI version 5.3.0,3,10
