platform,model_name,backend,prompt_id,num_runs,tps_mean,tps_std,ttft_mean_ms,ttft_std_ms,output_tokens_mean
rpi_ai_hat_plus,llama3.2:1b,ollama-cpu,hazard_reasoning,3,0.62,0.0,1934.3933333333334,22.20574325109009,256
rpi_ai_hat_plus,llama3.2:1b,ollama-cpu,mission_preflight,3,0.62,0.0,1923.86,3.408504070703145,256
rpi_ai_hat_plus,llama3.2:1b,ollama-cpu,scene_description,3,0.6266666666666667,0.005773502691896263,1926.4166666666667,3.1422019879907475,92
rpi_ai_hat_plus,llama3.2:1b,ollama-cpu,target_identification,3,0.62,0.0,1922.98,1.2667675398430343,256
rpi_ai_hat_plus,llama3.2:1b,ollama-cpu,telemetry_interpretation,3,0.63,0.0,1932.12,3.7861986213087944,54
rpi_ai_hat_plus_2,llama3.2:1b,hailo-10h,hazard_reasoning,9,10.431111111111111,0.15382168608850694,455.8644444444444,3.2792762582279913,28.77777777777778
rpi_ai_hat_plus_2,llama3.2:1b,hailo-10h,mission_preflight,9,10.092222222222222,0.04116363011742869,454.7011111111111,3.7057166798220176,256
rpi_ai_hat_plus_2,llama3.2:1b,hailo-10h,scene_description,9,10.484444444444444,0.07230337321161268,454.0155555555555,3.1737206521333556,22.666666666666668
rpi_ai_hat_plus_2,llama3.2:1b,hailo-10h,target_identification,9,10.177777777777777,0.11584232579003444,455.17333333333335,3.033970171244273,135.66666666666666
rpi_ai_hat_plus_2,llama3.2:1b,hailo-10h,telemetry_interpretation,9,10.112222222222222,0.06869821281841666,455.0411111111111,2.6724915549185853,160.77777777777777
rpi_ai_hat_plus_2,llama3.2:1b,ollama-cpu,hazard_reasoning,11,6.846363636363637,0.10892866723436274,453.82545454545453,4.292454690818213,256
rpi_ai_hat_plus_2,llama3.2:1b,ollama-cpu,mission_preflight,11,6.857272727272727,0.10527021507443683,456.8772727272727,11.555429105757245,256
rpi_ai_hat_plus_2,llama3.2:1b,ollama-cpu,scene_description,11,6.983636363636363,0.090804485271679,452.88363636363636,3.648233196294536,92
rpi_ai_hat_plus_2,llama3.2:1b,ollama-cpu,target_identification,11,6.833636363636364,0.1698983653407369,453.7009090909091,3.9897379727131383,256
rpi_ai_hat_plus_2,llama3.2:1b,ollama-cpu,telemetry_interpretation,11,6.985454545454545,0.08128513226459515,454.2845454545454,7.248859722240961,54
